defect_type_0edge_1node,f,epsilon,m_psi,mean_k
1.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000133e-01,3.622824833333333511e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,6.800000000000000488e-01,3.037211666666666480e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,7.199999999999999734e-01,3.304010000000000020e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,7.600000000000000089e-01,2.724346666666666635e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,8.000000000000000444e-01,2.154374499999999869e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,8.399999999999999689e-01,1.528791333333333205e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,8.800000000000000044e-01,1.919689333333332972e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,9.200000000000000400e-01,1.701203333333333248e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,9.599999999999999645e-01,1.987692500000000275e-03,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+00,1.709151166666666478e-03,1.405428571428571338e+01
1.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,9.967090000000000671e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000083e-02,9.967771666666666031e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000167e-02,9.966546666666666887e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,1.199999999999999956e-01,9.964539999999999509e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,1.600000000000000033e-01,9.959908333333332697e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,2.000000000000000111e-01,9.953560000000000185e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,2.399999999999999911e-01,9.947038333333333426e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,2.800000000000000266e-01,9.935646666666667626e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,3.200000000000000067e-01,9.920404999999999918e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,3.599999999999999867e-01,9.900749999999999273e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000222e-01,9.870751666666667257e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,4.400000000000000022e-01,9.819881666666666620e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,4.799999999999999822e-01,1.029123683333333372e-01,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,5.200000000000000178e-01,1.183540500000000023e-02,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,5.600000000000000533e-01,4.873216666666666842e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,7.281550000000000349e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000133e-01,2.731768333333333462e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,6.800000000000000488e-01,4.222255000000000279e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,7.199999999999999734e-01,2.622779999999999903e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,7.600000000000000089e-01,2.976663666666666801e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000444e-01,2.836443333333333715e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,8.399999999999999689e-01,2.033128333333333523e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,8.800000000000000044e-01,1.635391333333333303e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,9.200000000000000400e-01,2.107529166666666492e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,9.599999999999999645e-01,2.816758333333333961e-03,7.984870184254606151e+00
1.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+00,1.918046500000000027e-03,7.984870184254606151e+00
1.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,9.241078333333332395e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,4.000000000000000083e-02,9.234966666666665214e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000167e-02,9.177086666666666170e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.199999999999999956e-01,9.113538333333334185e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000033e-01,9.000998333333333212e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,2.000000000000000111e-01,6.645501666666667751e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,2.399999999999999911e-01,3.269653499999999879e-01,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,2.800000000000000266e-01,7.563443333333334795e-02,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,3.200000000000000067e-01,3.896071666666666572e-02,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,3.599999999999999867e-01,1.614763833333333551e-02,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,4.000000000000000222e-01,1.844410833333333388e-02,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,4.400000000000000022e-01,9.628708333333332869e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,4.799999999999999822e-01,6.077361666666666190e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,5.200000000000000178e-01,6.728628333333333544e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,5.600000000000000533e-01,8.766956666666667411e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01,7.683065000000000207e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,6.400000000000000133e-01,6.925029999999999554e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,6.800000000000000488e-01,4.041498333333333297e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,7.199999999999999734e-01,4.674783333333333221e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,7.600000000000000089e-01,4.483836666666666908e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000444e-01,5.954850000000000247e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,8.399999999999999689e-01,3.839043333333333474e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,8.800000000000000044e-01,3.766220000000000678e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,9.200000000000000400e-01,4.248736666666666668e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,9.599999999999999645e-01,3.524591666666666845e-03,4.043281033687125436e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,4.271818333333333301e-03,4.043281033687125436e+00
