T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,4.500000000000000111e-01,9.997570000000000068e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,9.996230000000000393e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,5.500000000000000444e-01,1.363050000000000025e-02
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,6.000000000000000888e-01,4.320369999999999593e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,6.500000000000000222e-01,3.866430000000000127e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,7.000000000000000666e-01,1.201220000000000022e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,7.500000000000000000e-01,4.178340000000000005e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,8.000000000000000444e-01,2.391170000000000188e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,8.500000000000000888e-01,1.741499999999999992e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,9.000000000000000222e-01,2.261669999999999913e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,9.500000000000000666e-01,1.156130000000000005e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,1.234459999999999941e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,2.500000000000000000e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,3.000000000000000444e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,3.500000000000000333e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,4.500000000000000111e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,5.000000000000000000e-01,9.999949999999999672e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,5.500000000000000444e-01,9.999909999999999632e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,6.000000000000000888e-01,3.174820000000000073e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,6.500000000000000222e-01,4.699659999999999602e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,7.000000000000000666e-01,3.036549999999999840e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,7.500000000000000000e-01,1.290670000000000055e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,8.000000000000000444e-01,2.370230000000000080e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,8.500000000000000888e-01,9.471310000000000362e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,9.000000000000000222e-01,1.075590000000000048e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,9.500000000000000666e-01,2.270889999999999801e-03
2.999999999999999889e-01,8.000000000000000000e+02,1.400000000000000000e+01,1.000000000000000000e+00,6.671630000000000225e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,5.000000000000000278e-02,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000000e+02,1.800000000000000000e+01,1.500000000000000222e-01,1.000000000000000000e+00
