T,k,N,epsilon,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_paper
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.543977499999999559e-01,4.023369234896717658e-06,8.999985000000000346e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,2.380950000000000048e-06,6.299401584079237407e-06,8.196758749999999427e-01,8.130767183956330062e-06,8.749971249999999312e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,2.500266106949999845e-01,4.329973435661635950e-01,8.393282499999999979e-01,9.276391078128122525e-02,6.374771249999999778e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,6.250000000000000000e-01,4.841229182759271277e-01,9.073413750000000055e-01,1.196217705038860046e-01,3.093748749999999936e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,6.250009300600000151e-01,4.841217175749642498e-01,8.954151249999999784e-01,1.350184930476539258e-01,2.999991250000000331e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.330123749999999716e-01,1.125160092775692993e-03,2.112648874999999930e-03,1.287218517671478730e-03,3.337875000000000147e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.193101250000000002e-01,1.162808285735439200e-03,2.383551250000000288e-02,1.648458470387941270e-03,3.453089999999999771e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.021816250000000093e-01,1.556804735467809007e-03,4.886717499999999881e-02,1.513305145823207187e-03,3.594574999999999854e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.831333750000000204e-01,1.665004950255408959e-03,7.326026250000000628e-02,1.925112397976740412e-03,3.737112500000000503e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.613198750000000348e-01,1.990095691009598385e-03,9.968706250000000657e-02,2.722365721177768139e-03,3.899164999999999992e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.367029999999999967e-01,3.382096613049367147e-03,1.278642500000000126e-01,4.000871397270849492e-03,4.077147500000000147e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.069776249999999984e-01,5.025455699175443956e-03,1.596551250000000088e-01,6.229208766719494285e-03,4.289247499999999658e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,1.736243749999999975e-01,5.427274936317024942e-03,1.920795000000000141e-01,6.752231001676408176e-03,4.509491250000000062e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,1.346204999999999763e-01,6.779860120238470622e-03,2.286894999999999900e-01,8.305703477129434270e-03,4.762433750000000243e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,6.246371249375000101e-01,4.834933397489521445e-01,9.983406249999999815e-01,7.384610581303449823e-04,2.500651908000000034e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,3.747145045374999928e-01,4.835916871226212388e-01,9.749624999999999542e-01,1.830481450329392648e-02,6.089058868750000242e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,2.510301091250000116e-01,4.319331399276728489e-01,9.414261250000000025e-01,3.327644844119298506e-02,5.931146428750000421e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,3.111323875000000122e-04,1.911595549990271678e-04,8.879281249999999570e-01,6.642598206838635838e-04,9.237289999999999113e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,1.257609134499999837e-01,3.301332674514141918e-01,8.699851250000000258e-01,4.875153085657286944e-02,7.859300297500000365e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,9.578237499999999382e-04,6.895043610646617478e-04,8.168972500000000192e-01,1.017555250342693039e-03,8.731422500000000086e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,1.615896375000000149e-03,9.606132213271292852e-04,7.823978750000000204e-01,1.301546237893596962e-03,8.476529999999999898e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,1.279340248749999687e-01,3.291127271177248237e-01,7.789433749999999934e-01,8.296102967498880654e-02,7.186278812499999891e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,3.788120812499999879e-01,4.804624400250506189e-01,8.200917500000000082e-01,1.385521823355284066e-01,4.963116191250000475e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.335401249999999651e-01,6.708057538326637299e-04,1.868290374999999901e-03,8.842120998824231845e-04,3.337656250000000102e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.191122499999999862e-01,1.526413586646820650e-03,1.917035000000000267e-02,2.088431003768139848e-03,3.426520000000000121e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.033544999999999714e-01,2.268308786298722009e-03,3.886551250000000457e-02,2.957679380628290989e-03,3.528354999999999686e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.860378749999999970e-01,3.659608463944612720e-03,5.836724999999999552e-02,3.375971700488615643e-03,3.633141249999999878e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.677173749999999797e-01,4.314179902875515255e-03,7.816393750000000251e-02,4.837226798212354746e-03,3.740223750000000180e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.452167500000000111e-01,3.565309970745878659e-03,1.025845624999999900e-01,5.571043890945729000e-03,3.891268749999999832e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.211578750000000038e-01,4.648473443978681265e-03,1.283661249999999976e-01,6.487584516549667855e-03,4.049221250000000216e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,1.966147500000000048e-01,5.937929621298997269e-03,1.538680000000000048e-01,1.024966231151056353e-02,4.200557500000000055e-01
6.500000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,1.695941249999999845e-01,7.969848123356864517e-03,1.837842499999999824e-01,1.173689891698398956e-02,4.381008750000000007e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,0.000000000000000000e+00,4.995479939124999880e-01,4.990717962796587526e-01,9.977956249999999638e-01,4.828995593029685894e-04,3.750975018749999612e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,2.500000000000000139e-02,2.497308945625000276e-01,4.321747739527231347e-01,9.697318749999999099e-01,1.603033880207699671e-02,7.305114137499999494e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,5.000000000000000278e-02,1.873351612499999817e-03,3.857191196673497632e-03,9.216511250000000155e-01,4.775817794825822256e-03,8.297954435000000073e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,7.500000000000001110e-02,6.345722499999999992e-04,2.210834713099048244e-04,8.869922500000000376e-01,5.612839633376349091e-04,9.231043750000000880e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,1.000000000000000056e-01,1.107803374999999889e-03,4.432646861636220861e-04,8.510225000000000151e-01,8.082112966297716125e-04,8.977515000000000356e-01
6.500000000000000222e-01,1.000000000000000000e+01,1.600000000000000000e+03,2.999999999999999889e-01,1.250000000000000000e-01,1.894812500000000012e-03,7.105141521065924930e-04,8.154235000000000788e-01,1.092681220667785554e-03,8.721047500000000952e-01
